Unnamed: 0,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Converted,Unnamed: 0.1,Converted_n,cos_Converted,sin_Converted,Mean_Converted,Max_Converted,Min_Converted,Std_Converted,Engagement Score,Interest Score,Opted Out,Days Since Last Activity,Asymmetrique Total Score,Lead Profile Simplified,High Conversion Country,Lead Source Simplified
6206.0,251a9f3d-4148-41e2-9532-018731d6ef6c,602204.0,1.0,1.0,0.0,0.0,2.0,205.0,2.0,5.0,12.0,12.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,1.0,4.0,False,1385.5,0.0,1.0,0.0,0.2714285714285714,1.0,0.0,0.44472070608939196,103.5,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,1.0
6990.0,46fa2e97-e46a-47e5-93ee-f50675f460a2,595985.0,1.0,7.0,0.0,0.0,3.0,213.0,4.0,12.0,12.0,18.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,1.0,12.0,True,1385.5,1.0,0.5403023058681398,0.8414709848078965,0.2714285714285714,1.0,0.0,0.44472070608939196,108.3,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,7.0
600.0,6be741da-525d-11e6-96be-22000aa8e760,654189.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,0.0,4.0,True,1385.5,1.0,0.5403023058681398,0.8414709848078965,0.2714285714285714,1.0,0.0,0.44472070608939196,0.0,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,2.0
2464.0,e86663d5-4e87-4f1f-b9a4-deafce64f8d3,636033.0,0.0,3.0,0.0,0.0,2.0,1080.0,2.0,12.0,12.0,15.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,0.0,8.0,True,1385.5,1.0,0.5403023058681398,0.8414709848078965,0.2714285714285714,1.0,0.0,0.44472070608939196,541.0,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,3.0
4371.0,9cfe699a-924f-457e-8a4d-4bd9c125aced,617842.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,0.0,4.0,True,1385.5,1.0,0.5403023058681398,0.8414709848078965,0.2714285714285714,1.0,0.0,0.44472070608939196,0.0,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,10.0
6316.0,486c7655-f2b7-4335-ac77-edb5001e19d1,601427.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,15.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,0.0,8.0,False,1385.5,0.0,1.0,0.0,0.2714285714285714,1.0,0.0,0.44472070608939196,0.0,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,6.0
8769.0,bc6fd0c3-dfdb-4fe6-ae98-24a1fa81aa4d,582921.0,1.0,1.0,0.0,0.0,2.0,488.0,2.0,12.0,12.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,1.0,12.0,False,1385.5,0.0,1.0,0.0,0.2714285714285714,1.0,0.0,0.44472070608939196,245.0,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,1.0
7945.0,6b7f56ca-46bb-4331-b23f-3eb204fa8736,588877.0,1.0,1.0,0.0,0.0,2.0,287.0,2.0,5.0,12.0,13.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,0.0,4.0,True,1385.5,1.0,0.5403023058681398,0.8414709848078965,0.2714285714285714,1.0,0.0,0.44472070608939196,144.5,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,1.0
4285.0,04eaee87-07f0-44d6-aa38-328955d30a20,618838.0,1.0,1.0,0.0,0.0,3.0,105.0,3.0,12.0,12.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,1.0,12.0,True,1385.5,1.0,0.5403023058681398,0.8414709848078965,0.2714285714285714,1.0,0.0,0.44472070608939196,54.0,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,1.0
4079.0,96a1144a-5aaf-4bfb-8e90-feae6c0923a5,620794.0,1.0,1.0,0.0,0.0,4.0,1458.0,4.0,5.0,12.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,14.276482345103265,16.247168554297136,0.0,0.0,8.0,False,1385.5,0.0,1.0,0.0,0.2714285714285714,1.0,0.0,0.44472070608939196,731.0,0.0,0.0,20165.0,15.064756828780812,4.0,0.0,1.0
